,index,yes,no
142,78,536698.3342410373,4016304.5886344914
143,77,6210049.197051994,160270.6872152575
144,76,586.6001,4967644.52289783
145,75,701086.5995730502,2271354.803267096
146,74,8435.0,1704193.3533758195
147,73,56403189.080470085,37839.5
148,72,400680.9321555039,173599.7699847809
149,71,4880359.655201728,558731.4
150,70,924670.667938734,1408093.552368431
151,69,24660.0,974296.3309908296
152,68,3561178.4203613354,1589390.3391745489
153,67,284632.6898,12036364.51277686
154,66,24.15,1396571.1542439435
155,65,0.0,1388229.167028686
156,64,220863.9527388797,2303159.5566101545
157,63,8335.1,2970004.1748762988
158,62,4847597.456583484,362971.8876054939
159,61,381841.6537766811,926139.199478539
160,60,44182.6993408617,1116239.0921566642
161,59,122018.0659236606,2557344.834659992
162,58,61242146.65431561,0.0
163,57,1026127.04652998,114582.2
164,56,39776650.078427374,6100.0
165,55,61574201.57551172,11413.3152069446
166,54,2588925.6659325603,50313.2
167,53,163881782.98898268,200.5
168,52,495269.8360762875,1593572.8219458836
169,51,62443324.698371075,100.0
170,50,397715.71,789693.3307780197
171,49,804877.8936606903,108652.866
172,48,922871.0506156298,102665.6052
173,47,11334665.505857084,3295244.2838937347
174,46,258648.0611109425,3502905.499998555
175,45,2881164.892253549,2749682.4816202084
176,44,3174849.7778280494,81230.5637913073
177,43,1736554.51924286,1140892.1232540028
178,42,22100.0,3480490.0550859645
179,41,578479.153888036,1962082.5150987648
180,40,535586.4422059607,2596306.643848169
181,39,1926512.2894038623,634605.3660649953
182,38,95326.1830414097,801640.4259086589
183,37,1184379.4564274505,624726.6057113309
184,36,1312361.3451304133,1191227.811113608
185,35,3627633.1003135424,3520391.387092367
186,34,2946712.0041145626,3816011.574985997
187,33,2264937.4916216643,5921508.980960047
188,32,1421644.9241235747,673386.802499875
189,31,1986121.7661197705,373221.6924692313
190,30,2027584.2021437096,8053184.338945685
191,29,5716836.764256967,8474908.448823085
192,28,1832886.2950795456,379790.9589303516
193,27,1824897.4281974696,322553.7556
194,26,1972241.1905529392,344405.6556
195,25,1999230.0560329943,322967.6608
196,24,1549724.6118197916,476201.8865112867
197,23,3504455.105842395,50674.5001
198,22,4674309.070914032,4422681.847630495
199,21,5206765.447026082,1469069.3459266592
200,20,3210641.9696878437,390263.0608
201,19,954772.8672961564,2747592.845394487
202,18,66060000.11524444,100.1
203,17,636529.2273782742,2185637.167541424
204,16,4112784.783303857,7250812.633153093
205,15,2648904.398457322,846335.2475345054
206,14,2374590.57072821,701265.3519029213
207,13,3378026.8606831026,375143.0475345054
208,12,81100.5,3200852.7298340774
209,11,18333.1,3389665.0673079365
210,10,786169.714188578,2763283.584264918
211,9,36401206.899206065,20264.5
212,8,6253826.758248115,429028.9145927421
213,7,2678085.529357516,317570.8033617394
214,6,2074686.070993722,637265.3748057142
215,5,9648535.68311292,2859825.620601763
216,4,2528444.80015547,800119.465234279
217,3,85850822.24565667,0.0
218,2,378059.8396858491,1761651.3027568972
219,1,2233979.009701535,3249706.493460312
220,0,7735.4101,2776016.4071780127
